date,id,group,converted
2023-08-01,5030836,control,0
2023-08-01,5091425,control,0
2023-08-01,5106537,control,0
2023-08-01,4556522,control,0
2023-08-01,4002917,control,0
2023-08-01,6465172,control,0
2023-08-01,8376645,control,0
2023-08-01,4037047,control,0
2023-08-01,5336783,control,0
2023-08-01,8409137,control,0
2023-08-01,5787723,control,0
2023-08-01,4130466,control,0
2023-08-01,6171110,control,1
2023-08-01,4175360,control,0
2023-08-01,7104437,control,0
2023-08-01,8072982,control,0
2023-08-01,6674303,control,0
2023-08-01,5463888,control,0
2023-08-01,4974314,control,0
2023-08-01,5709622,control,0
2023-08-01,6159355,control,0
2023-08-01,5162306,control,0
2023-08-01,4353743,control,1
2023-08-01,8232171,control,0
2023-08-01,8715671,control,0
2023-08-01,6544331,control,0
2023-08-01,4502989,control,0
2023-08-01,6467357,control,0
2023-08-01,6733270,control,0
2023-08-01,5405780,control,0
2023-08-01,7820924,control,0
2023-08-01,6767430,control,0
2023-08-01,5585962,control,0
2023-08-01,4609177,control,0
2023-08-01,6981679,control,0
2023-08-01,4862211,control,0
2023-08-01,8349479,control,0
2023-08-01,7537468,control,0
2023-08-01,7539392,control,0
2023-08-01,8539658,control,1
2023-08-01,6234043,control,0
2023-08-01,8955799,control,0
2023-08-01,7629992,control,0
2023-08-01,5502750,control,0
2023-08-01,4326684,control,0
2023-08-01,4504828,control,0
2023-08-01,6292083,control,0
2023-08-01,8179925,control,0
2023-08-01,8592843,control,0
2023-08-01,4227214,control,0
2023-08-01,6319887,control,0
2023-08-01,5018814,control,0
2023-08-01,6918668,control,0
2023-08-01,4795412,control,0
2023-08-01,4422757,control,0
2023-08-01,6053268,control,0
2023-08-01,5111065,control,0
2023-08-01,4033208,control,0
2023-08-01,7013973,control,0
2023-08-01,5670779,control,0
2023-08-01,8811292,control,0
2023-08-01,7737255,control,0
2023-08-01,7895003,control,0
2023-08-01,6082316,control,0
2023-08-01,5337642,control,0
2023-08-01,4248283,control,0
2023-08-01,4760246,control,0
2023-08-01,5728862,control,0
2023-08-01,6461343,control,0
2023-08-01,6634564,control,0
2023-08-01,6868539,control,0
2023-08-01,5765020,control,0
2023-08-01,7484048,control,0
2023-08-01,4149164,control,0
2023-08-01,6043996,control,0
2023-08-01,6077685,control,0
2023-08-01,7332130,control,1
2023-08-01,6067912,control,0
2023-08-01,6896814,control,0
2023-08-01,4098534,control,0
2023-08-01,6722935,control,0
2023-08-01,8687746,control,0
2023-08-01,5654207,control,1
2023-08-01,8892114,control,0
2023-08-01,5689797,control,0
2023-08-01,6525089,control,0
2023-08-01,5611741,control,0
2023-08-01,7516016,control,0
2023-08-01,8857330,control,0
2023-08-01,5136959,control,0
2023-08-01,5524379,control,0
2023-08-01,8480857,control,0
2023-08-01,4584711,control,1
2023-08-01,4671985,control,0
2023-08-01,6905582,control,0
2023-08-01,8342745,control,0
2023-08-01,4028296,control,0
2023-08-01,7552950,control,0
2023-08-01,8867749,control,0
2023-08-01,4464194,control,1
2023-08-01,4168851,control,0
2023-08-01,7972387,control,0
2023-08-01,8446681,control,1
2023-08-01,7985662,control,0
2023-08-01,8952053,control,0
2023-08-01,6098476,control,0
